Industry,Job Title,Skills,Career Path
Information Technology,Frontend Developer,"HTML, CSS, JavaScript, React, Git","Intern > Junior Frontend Developer > Frontend Developer > Senior Frontend Developer > Frontend Lead"
Information Technology,Backend Developer,"Java, Spring Boot, SQL, Docker","Intern > Junior Backend Developer > Backend Developer > Senior Backend Developer > Backend Lead"
Information Technology,Fullstack Developer,"NodeJS, React, SQL, API Design","Intern > Junior Fullstack > Fullstack Developer > Senior Fullstack > Technical Lead"
Information Technology,Mobile Developer,"Flutter, Dart, Kotlin, Swift","Intern > Junior Mobile Dev > Mobile Developer > Senior Mobile Dev > Mobile Lead"
Information Technology,Data Analyst,"Python, SQL, Power BI, Excel","Intern > Junior Data Analyst > Data Analyst > Senior Analyst > Analytics Manager"
Information Technology,Data Scientist,"Machine Learning, Python, Statistics, TensorFlow","Intern > Junior Data Scientist > Data Scientist > Senior Data Scientist > Head of AI"
Information Technology,AI Engineer,"Deep Learning, Python, MLOps, Cloud","Intern > Junior AI Engineer > AI Engineer > Senior AI Engineer > AI Architect"
Information Technology,ML Engineer,"ML Pipeline, Python, PyTorch, CI/CD","Intern > Junior ML Engineer > ML Engineer > Senior ML Engineer > ML Lead"
Information Technology,DevOps Engineer,"Linux, Docker, Kubernetes, CI/CD","Intern > Junior DevOps > DevOps Engineer > Senior DevOps > DevOps Architect"
Information Technology,Cloud Engineer,"AWS, Azure, Terraform, Kubernetes","Intern > Junior Cloud Engineer > Cloud Engineer > Senior Cloud Engineer > Cloud Architect"
Information Technology,QA Engineer,"Manual Testing, Selenium, API Testing","Intern > Junior QA > QA Engineer > Senior QA > QA Lead"
Information Technology,Automation Tester,"Selenium, Python, CI/CD, TestNG","Intern > Junior Automation Tester > Automation Tester > Senior Automation > QA Architect"
Information Technology,Security Analyst,"PenTest, SIEM, Network Security","Intern > Junior Sec Analyst > Security Analyst > Senior Security Analyst > Security Lead"
Information Technology,Cybersecurity Engineer,"Threat Hunting, Malware Analysis, SOC","Intern > Junior Cyber Engineer > Cybersecurity Engineer > Senior Cyber Engineer > Security Architect"
Information Technology,Penetration Tester,"Burp Suite, OWASP, Linux, Exploitation","Intern > Junior Pentester > Pentester > Senior Pentester > Red Team Lead"
Information Technology,SOC Analyst,"SIEM, Log Analysis, Incident Response","Intern > SOC L1 > SOC L2 > SOC L3 > SOC Manager"
Information Technology,System Administrator,"Linux, Bash, Networking, Virtualization","Intern > Junior SysAdmin > SysAdmin > Senior SysAdmin > System Architect"
Information Technology,Network Engineer,"Cisco, Routing, Switching, Firewall","Intern > Junior Network Engineer > Network Engineer > Senior Network Engineer > Network Architect"
Information Technology,IT Support,"Troubleshooting, Hardware, Windows, Networking","IT Intern > IT Support > Senior IT Support > IT Supervisor > IT Manager"
Information Technology,Product Manager,"Product Design, Agile, Communication","Associate PM > Junior PM > Product Manager > Senior PM > Head of Product"
Information Technology,Scrum Master,"Agile, Jira, Communication, Leadership","Scrum Assistant > Junior Scrum Master > Scrum Master > Senior Scrum Master > Agile Coach"
